Feature,Weight
sidewalk_width,0.06806833613639274
pedestrian_density,0.09445576675004053
street_furniture_density,0.06752114455511304
sidewalk_roughness,0.04593514200834298
surface_condition,0.07682933579593197
communication_infrastructure,0.05845165469318187
slope_gradient,0.04832231448153131
charging_station_proximity,0.025316489931061576
curb_ramp_availability,0.060102970276542725
crowd_dynamics,0.07621927189475182
traffic_management,0.04638333896814371
surveillance_coverage,0.02281272971765975
zoning_laws,0.04146601033693057
bike_lane_availability,0.022603749599280413
gps_signal_strength,0.048359700811054354
bicycle_traffic,0.03068282361247861
vehicle_traffic,0.04745443062510741
digital_map_existence,0.04850786858987462
intersection_safety,0.07050692121657998
