Feature,Weight
sidewalk_width,0.05479377614280726
pedestrian_density,0.07367286785442727
street_furniture_density,0.056585586317118707
sidewalk_roughness,0.03943541718617227
surface_condition,0.05488364152224323
communication_infrastructure,0.03674771162827073
slope_gradient,0.04256432981951452
charging_station_proximity,0.017915960582046322
local_attitudes,0.040332938828368976
curb_ramp_availability,0.05150564095485796
weather_conditions,0.062340511422640306
crowd_dynamics,0.069752880680506
traffic_management,0.03750471378935731
surveillance_coverage,0.01580463491563637
zoning_laws,0.038566925968303516
bike_lane_availability,0.018930699764309486
street_lighting,0.021106086754976106
shade_availability,0.010350785192476725
gps_signal_strength,0.033959922061743135
pedestrian_flow,0.06421844152166015
bicycle_traffic,0.028125072114129714
vehicle_traffic,0.03937945512702634
digital_map_existence,0.03733943036873691
intersection_safety,0.054182569482670744
