Feature,Weight
sidewalk_width,0.05327373863494741
pedestrian_density,0.07294397131361925
street_furniture_density,0.05392417951423127
sidewalk_roughness,0.04145475150812999
surface_condition,0.057288604458272996
communication_infrastructure,0.04896943576465211
slope_gradient,0.03723198837379575
charging_station_proximity,0.02161544379761576
local_attitudes,0.039426821600346794
curb_ramp_availability,0.04832216365907685
weather_conditions,0.051377637398084916
crowd_dynamics,0.06312620873177913
traffic_management,0.03820081801892693
surveillance_coverage,0.018821844468443056
zoning_laws,0.03490852286079141
bike_lane_availability,0.019873610769291693
street_lighting,0.026464900762071225
shade_availability,0.011615587902511458
gps_signal_strength,0.04006349939164496
pedestrian_flow,0.06295694489856976
bicycle_traffic,0.024624215152024072
vehicle_traffic,0.037390942798868614
digital_map_existence,0.038870460246857114
intersection_safety,0.057253707975447564
