Feature,Weight
sidewalk_width,0.05159360659139117
pedestrian_density,0.09763352848180071
street_furniture_density,0.043476382554507746
sidewalk_roughness,0.03730290738565401
surface_condition,0.018298895715250642
communication_infrastructure,0.09745472087098019
slope_gradient,0.03320157866082779
charging_station_proximity,0.018665483466816412
local_attitudes,0.07081569787389944
curb_ramp_availability,0.03910848431457677
weather_conditions,0.023551895434419653
crowd_dynamics,0.0570838587335731
traffic_management,0.03500747169161495
surveillance_coverage,0.01770051603934015
zoning_laws,0.06780133708854787
bike_lane_availability,0.033344889140255046
street_lighting,0.00842579219350804
shade_availability,0.03329640574173623
gps_signal_strength,0.04896726135393977
pedestrian_flow,0.05940104834075039
bicycle_traffic,0.01223308736124743
vehicle_traffic,0.02705718575021549
digital_map_existence,0.037379955313984706
intersection_safety,0.031198009901162324
