Feature,Weight
sidewalk_width,0.05328842460370117
pedestrian_density,0.05708440240887412
street_furniture_density,0.05343577981027857
sidewalk_roughness,0.049035780075486236
surface_condition,0.07639319074524463
communication_infrastructure,0.05356715353350916
slope_gradient,0.020517622126956382
charging_station_proximity,0.023478337295813476
local_attitudes,0.04015506953031271
curb_ramp_availability,0.028036203824299166
weather_conditions,0.04609815751760666
crowd_dynamics,0.04853443748293595
traffic_management,0.050997444709158436
surveillance_coverage,0.031356006048141254
zoning_laws,0.023850420314209326
bike_lane_availability,0.015973197712889124
street_lighting,0.0446286300355176
shade_availability,0.004446855035355846
gps_signal_strength,0.04975579407875746
pedestrian_flow,0.07182415067079707
bicycle_traffic,0.0022652915224994426
vehicle_traffic,0.0467689787820866
digital_map_existence,0.05209589670283711
intersection_safety,0.05641277543273241
